# H_star t_star theta0 t_p x_tp_over_tosc Ea3_PT Ea3_noPT f_anh_PT f_anh_noPT xi_DM nsteps_PT nsteps_noPT
1 0.5 0.2618 5.0100000000e-01 3.3400000000e-01 3.3700989676e-02 2.5490998574e-02 2.7890654979e+00 4.0721391266e-01 1.3220741266e+00 3263 3275
1 0.5 0.2618 5.0384893942e-01 3.3589929295e-01 3.3783904752e-02 2.5490998574e-02 2.7722472943e+00 4.0721391266e-01 1.3253268464e+00 3263 3275
1 0.5 0.2618 5.0671407935e-01 3.3780938623e-01 3.3867628848e-02 2.5490998574e-02 2.7555797318e+00 4.0721391266e-01 1.3286113037e+00 3263 3275
1 0.5 0.2618 5.0959551191e-01 3.3973034127e-01 3.3952169522e-02 2.5490998574e-02 2.7390615176e+00 4.0721391266e-01 1.3319277949e+00 3263 3275
1 0.5 0.2618 5.1249332976e-01 3.4166221984e-01 3.4037534404e-02 2.5490998574e-02 2.7226913696e+00 4.0721391266e-01 1.3352766195e+00 3263 3275
1 0.5 0.2618 5.1540762606e-01 3.4360508404e-01 3.4123731187e-02 2.5490998574e-02 2.7064680165e+00 4.0721391266e-01 1.3386580791e+00 3263 3275
1 0.5 0.2618 5.1833849453e-01 3.4555899635e-01 3.4210767635e-02 2.5490998574e-02 2.6903901979e+00 4.0721391266e-01 1.3420724785e+00 3263 3275
1 0.5 0.2618 5.2128602940e-01 3.4752401960e-01 3.4298651581e-02 2.5490998574e-02 2.6744566635e+00 4.0721391266e-01 1.3455201247e+00 3263 3275
1 0.5 0.2618 5.2425032544e-01 3.4950021696e-01 3.4387390926e-02 2.5490998574e-02 2.6586661740e+00 4.0721391266e-01 1.3490013279e+00 3263 3275
1 0.5 0.2618 5.2723147797e-01 3.5148765198e-01 3.4476993642e-02 2.5490998574e-02 2.6430175003e+00 4.0721391266e-01 1.3525164007e+00 3263 3275
1 0.5 0.2618 5.3022958284e-01 3.5348638856e-01 3.4567467770e-02 2.5490998574e-02 2.6275094234e+00 4.0721391266e-01 1.3560656586e+00 3263 3275
1 0.5 0.2618 5.3324473645e-01 3.5549649097e-01 3.4658821425e-02 2.5490998574e-02 2.6121407349e+00 4.0721391266e-01 1.3596494199e+00 3263 3275
1 0.5 0.2618 5.3627703575e-01 3.5751802383e-01 3.4751062790e-02 2.5490998574e-02 2.5969102363e+00 4.0721391266e-01 1.3632680057e+00 3263 3275
1 0.5 0.2618 5.3932657824e-01 3.5955105216e-01 3.4844200124e-02 2.5490998574e-02 2.5818167392e+00 4.0721391266e-01 1.3669217399e+00 3263 3275
1 0.5 0.2618 5.4239346196e-01 3.6159564131e-01 3.4938241757e-02 2.5490998574e-02 2.5668590653e+00 4.0721391266e-01 1.3706109494e+00 3263 3275
1 0.5 0.2618 5.4547778554e-01 3.6365185703e-01 3.5033196092e-02 2.5490998574e-02 2.5520360459e+00 4.0721391266e-01 1.3743359637e+00 3263 3275
1 0.5 0.2618 5.4857964815e-01 3.6571976543e-01 3.5129071608e-02 2.5490998574e-02 2.5373465224e+00 4.0721391266e-01 1.3780971156e+00 3263 3275
1 0.5 0.2618 5.5169914951e-01 3.6779943301e-01 3.5225877005e-02 2.5490998574e-02 2.5227893564e+00 4.0721391266e-01 1.3818947462e+00 3263 3275
1 0.5 0.2618 5.5483638994e-01 3.6989092663e-01 3.5323620834e-02 2.5490998574e-02 2.5083634027e+00 4.0721391266e-01 1.3857291910e+00 3263 3275
1 0.5 0.2618 5.5799147030e-01 3.7199431354e-01 3.5422311730e-02 2.5490998574e-02 2.4940675267e+00 4.0721391266e-01 1.3896007889e+00 3263 3275
1 0.5 0.2618 5.6116449205e-01 3.7410966137e-01 3.5521958475e-02 2.5490998574e-02 2.4799006079e+00 4.0721391266e-01 1.3935098843e+00 3263 3275
1 0.5 0.2618 5.6435555720e-01 3.7623703813e-01 3.5622569927e-02 2.5490998574e-02 2.4658615355e+00 4.0721391266e-01 1.3974568247e+00 3263 3275
1 0.5 0.2618 5.6756476836e-01 3.7837651224e-01 3.5724155021e-02 2.5490998574e-02 2.4519492078e+00 4.0721391266e-01 1.4014419607e+00 3263 3275
1 0.5 0.2618 5.7079222872e-01 3.8052815248e-01 3.5826722774e-02 2.5490998574e-02 2.4381625324e+00 4.0721391266e-01 1.4054656458e+00 3263 3275
1 0.5 0.2618 5.7403804206e-01 3.8269202804e-01 3.5930282278e-02 2.5490998574e-02 2.4245004263e+00 4.0721391266e-01 1.4095282369e+00 3263 3275
1 0.5 0.2618 5.7730231273e-01 3.8486820848e-01 3.6034842708e-02 2.5490998574e-02 2.4109618152e+00 4.0721391266e-01 1.4136300939e+00 3263 3275
1 0.5 0.2618 5.8058514569e-01 3.8705676379e-01 3.6140413320e-02 2.5490998574e-02 2.3975456341e+00 4.0721391266e-01 1.4177715798e+00 3263 3275
1 0.5 0.2618 5.8388664650e-01 3.8925776434e-01 3.6247045992e-02 2.5490998574e-02 2.3842536253e+00 4.0721391266e-01 1.4219547299e+00 3262 3275
1 0.5 0.2618 5.8720692132e-01 3.9147128088e-01 3.6354665182e-02 2.5490998574e-02 2.3710791291e+00 4.0721391266e-01 1.4261765806e+00 3262 3275
1 0.5 0.2618 5.9054607690e-01 3.9369738460e-01 3.6463322806e-02 2.5490998574e-02 2.3580239208e+00 4.0721391266e-01 1.4304391686e+00 3262 3275
1 0.5 0.2618 5.9390422060e-01 3.9593614707e-01 3.6573028449e-02 2.5490998574e-02 2.3450869707e+00 4.0721391266e-01 1.4347428698e+00 3262 3275
1 0.5 0.2618 5.9728146041e-01 3.9818764028e-01 3.6683791777e-02 2.5490998574e-02 2.3322672575e+00 4.0721391266e-01 1.4390880636e+00 3262 3275
1 0.5 0.2618 6.0067790492e-01 4.0045193661e-01 3.6795622544e-02 2.5490998574e-02 2.3195637687e+00 4.0721391266e-01 1.4434751325e+00 3262 3275
1 0.5 0.2618 6.0409366332e-01 4.0272910888e-01 3.6908530588e-02 2.5490998574e-02 2.3069755001e+00 4.0721391266e-01 1.4479044624e+00 3262 3275
1 0.5 0.2618 6.0752884546e-01 4.0501923030e-01 3.7022525833e-02 2.5490998574e-02 2.2945014560e+00 4.0721391266e-01 1.4523764428e+00 3262 3275
1 0.5 0.2618 6.1098356177e-01 4.0732237452e-01 3.7137618291e-02 2.5490998574e-02 2.2821406491e+00 4.0721391266e-01 1.4568914663e+00 3262 3275
1 0.5 0.2618 6.1445792336e-01 4.0963861557e-01 3.7253818059e-02 2.5490998574e-02 2.2698921003e+00 4.0721391266e-01 1.4614499291e+00 3262 3275
1 0.5 0.2618 6.1795204192e-01 4.1196802794e-01 3.7371135326e-02 2.5490998574e-02 2.2577548388e+00 4.0721391266e-01 1.4660522308e+00 3262 3275
1 0.5 0.2618 6.2146602980e-01 4.1431068653e-01 3.7489580367e-02 2.5490998574e-02 2.2457279019e+00 4.0721391266e-01 1.4706987746e+00 3262 3275
1 0.5 0.2618 6.2500000000e-01 4.1666666667e-01 3.7609163548e-02 2.5490998574e-02 2.2338103348e+00 4.0721391266e-01 1.4753899671e+00 3262 3275
1 0.5 0.2618 6.5364817461e-01 4.3576544974e-01 3.8595603613e-02 2.5490998574e-02 2.1433564675e+00 4.0721391266e-01 1.5140875513e+00 3262 3275
1 0.5 0.2618 6.8360949787e-01 4.5573966525e-01 3.9659194934e-02 2.5490998574e-02 2.0592278786e+00 4.0721391266e-01 1.5558117434e+00 3262 3275
1 0.5 0.2618 7.1494416069e-01 4.7662944046e-01 4.0805688841e-02 2.5490998574e-02 1.9810031944e+00 4.0721391266e-01 1.6007881654e+00 3262 3275
1 0.5 0.2618 7.4771511293e-01 4.9847674195e-01 4.2041241982e-02 2.5490998574e-02 1.9082881203e+00 4.0721391266e-01 1.6492583395e+00 3262 3275
1 0.5 0.2618 7.8198818991e-01 5.2132545994e-01 4.3372443908e-02 2.5490998574e-02 1.8407137235e+00 4.0721391266e-01 1.7014807710e+00 3262 3275
1 0.5 0.2618 8.1783224464e-01 5.4522149642e-01 4.4806348345e-02 2.5490998574e-02 1.7779348964e+00 4.0721391266e-01 1.7577321741e+00 3262 3275
1 0.5 0.2618 8.5531928615e-01 5.7021285743e-01 4.6350557763e-02 2.5490998574e-02 1.7196307987e+00 4.0721391266e-01 1.8183107903e+00 3261 3275
1 0.5 0.2618 8.9452462416e-01 5.9634974944e-01 4.8013043027e-02 2.5490998574e-02 1.6654953679e+00 4.0721391266e-01 1.8835293128e+00 3261 3275
1 0.5 0.2618 9.3552702036e-01 6.2368468024e-01 4.9802496165e-02 2.5490998574e-02 1.6152481592e+00 4.0721391266e-01 1.9537287258e+00 3261 3275
1 0.5 0.2618 9.7840884664e-01 6.5227256443e-01 5.1728156997e-02 2.5490998574e-02 1.5686248704e+00 4.0721391266e-01 2.0292715033e+00 3261 3275
1 0.5 0.2618 1.0232562506e+00 6.8217083374e-01 5.3799908757e-02 2.5490998574e-02 1.5253783467e+00 4.0721391266e-01 2.1105453598e+00 3261 3275
1 0.5 0.2618 1.0701593286e+00 7.1343955239e-01 5.6028320272e-02 2.5490998574e-02 1.4852774500e+00 4.0721391266e-01 2.1979649055e+00 3261 3275
1 0.5 0.2618 1.1192123067e+00 7.4614153778e-01 5.8424694637e-02 2.5490998574e-02 1.4481061006e+00 4.0721391266e-01 2.2919735555e+00 3261 3275
1 0.5 0.2618 1.1705137300e+00 7.8034248667e-01 6.1001113409e-02 2.5490998574e-02 1.4136621848e+00 4.0721391266e-01 2.3930452638e+00 3261 3275
1 0.5 0.2618 1.2241666608e+00 8.1611110717e-01 6.3770492572e-02 2.5490998574e-02 1.3817567583e+00 4.0721391266e-01 2.5016867184e+00 3261 3275
1 0.5 0.2618 1.2802788852e+00 8.5351925677e-01 6.6746640454e-02 2.5490998574e-02 1.3522132407e+00 4.0721391266e-01 2.6184396135e+00 3261 3275
1 0.5 0.2618 1.3389631300e+00 8.9264208669e-01 6.9944317316e-02 2.5490998574e-02 1.3248666117e+00 4.0721391266e-01 2.7438829872e+00 3261 3275
1 0.5 0.2618 1.4003372893e+00 9.3355819287e-01 7.3379378540e-02 2.5490998574e-02 1.2995640716e+00 4.0721391266e-01 2.8786388389e+00 3260 3275
1 0.5 0.2618 1.4645246608e+00 9.7634977386e-01 7.7068537998e-02 2.5490998574e-02 1.2761588429e+00 4.0721391266e-01 3.0233628460e+00 3260 3275
1 0.5 0.2618 1.5316541939e+00 1.0211027959e+00 8.1029891126e-02 2.5490998574e-02 1.2545177663e+00 4.0721391266e-01 3.1787648840e+00 3260 3275
1 0.5 0.2618 1.6018607488e+00 1.0679071658e+00 8.5282701474e-02 2.5490998574e-02 1.2345152428e+00 4.0721391266e-01 3.3456006529e+00 3260 3275
1 0.5 0.2618 1.6752853671e+00 1.1168569114e+00 8.9847557773e-02 2.5490998574e-02 1.2160340377e+00 4.0721391266e-01 3.5246778392e+00 3260 3275
1 0.5 0.2618 1.7520755554e+00 1.1680503703e+00 9.4746466994e-02 2.5490998574e-02 1.1989647812e+00 4.0721391266e-01 3.7168597659e+00 3260 3275
1 0.5 0.2618 1.8323855817e+00 1.2215903878e+00 1.0000294315e-01 2.5490998574e-02 1.1832053655e+00 4.0721391266e-01 3.9230688771e+00 3260 3275
1 0.5 0.2618 1.9163767851e+00 1.2775845234e+00 1.0564212060e-01 2.5490998574e-02 1.1686606092e+00 4.0721391266e-01 4.1442911813e+00 3260 3275
1 0.5 0.2618 2.0042178999e+00 1.3361452666e+00 1.1169086238e-01 2.5490998574e-02 1.1552417792e+00 4.0721391266e-01 4.3815805038e+00 3260 3275
1 0.5 0.2618 2.0960853948e+00 1.3973902632e+00 1.1817787957e-01 2.5490998574e-02 1.1428661844e+00 4.0721391266e-01 4.6360631666e+00 3260 3275
1 0.5 0.2618 2.1921638274e+00 1.4614425516e+00 1.2513385897e-01 2.5490998574e-02 1.1314567935e+00 4.0721391266e-01 4.9089429983e+00 3260 3275
1 0.5 0.2618 2.2926462148e+00 1.5284308099e+00 1.3259159978e-01 2.5490998574e-02 1.1209418768e+00 4.0721391266e-01 5.2015066964e+00 3260 3275
1 0.5 0.2618 2.3977344213e+00 1.5984896142e+00 1.4058615992e-01 2.5490998574e-02 1.1112546694e+00 4.0721391266e-01 5.5151295664e+00 3260 3275
1 0.5 0.2618 2.5076395643e+00 1.6717597095e+00 1.4915501262e-01 2.5490998574e-02 1.1023330551e+00 4.0721391266e-01 5.8512816664e+00 3260 3275
1 0.5 0.2618 2.6225824381e+00 1.7483882920e+00 1.5833821415e-01 2.5490998574e-02 1.0941192692e+00 4.0721391266e-01 6.2115343850e+00 3260 3275
1 0.5 0.2618 2.7427939574e+00 1.8285293050e+00 1.6817858335e-01 2.5490998574e-02 1.0865596200e+00 4.0721391266e-01 6.5975674849e+00 3260 3275
1 0.5 0.2618 2.8685156218e+00 1.9123437478e+00 1.7872189391e-01 2.5490998574e-02 1.0796042271e+00 4.0721391266e-01 7.0111766470e+00 3260 3275
1 0.5 0.2618 3.0000000000e+00 2.0000000000e+00 1.9001708037e-01 2.5490998574e-02 1.0732067762e+00 4.0721391266e-01 7.4542815502e+00 3260 3275
